Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
Dennis Schroder,-0.535475324,-0.448362463,-0.087112862,LAL,PG,66,30.08989899,12.57575758,1.121212121,2.5,4.515151515,0.757575758,0.151515152,0.415384615,9.848484848,0.857142857,3.818181818,1.696969697
Justise Winslow,-0.568144298,-0.448525662,-0.119618636,POR,SF/PF,29,26.75114943,6.75862069,0.482758621,5,3.379310345,1.034482759,0.379310345,0.409090909,6.827586207,0.714285714,0.965517241,1.482758621
Jose Alvarado,-0.592483088,-0.449280831,-0.143202257,NOR,PG,61,21.47377049,9.016393443,1.360655738,2.31147541,3.049180328,1.098360656,0.163934426,0.411042945,8.016393443,0.8125,1.31147541,1.327868852
Reggie Bullock,-0.723925526,-0.449336265,-0.274589261,DAL,SF/PF,78,30.31303419,7.192307692,1.935897436,3.628205128,1.384615385,0.692307692,0.166666667,0.408510638,6.025641026,0.702702703,0.474358974,0.461538462
Matisse Thybulle,-0.748029791,-0.454112955,-0.293916835,POR,SG/SF,71,16.90516432,4.126760563,0.76056338,1.971830986,0.746478873,1.169014085,0.450704225,0.434782609,3.563380282,0.678571429,0.394366197,0.338028169
Cam Reddish,-0.622548526,-0.455398776,-0.16714975,POR,SF/PF,40,24.74041667,9.675,1.125,2.2,1.425,0.975,0.35,0.445512821,7.8,0.853333333,1.875,1.175
Eric Gordon,-0.576817482,-0.459536135,-0.117281347,LAC,SG/SF,69,28.48405797,12.4057971,1.913043478,1.942028986,2.652173913,0.623188406,0.362318841,0.445635528,9.463768116,0.820809249,2.507246377,1.507246377
Dillon Brooks,-0.590686848,-0.460731394,-0.129955454,MEM,SG/SF,73,30.33287671,14.34246575,1.95890411,3.342465753,2.589041096,0.890410959,0.219178082,0.39556004,13.57534247,0.779220779,2.109589041,1.424657534
Joe Ingles,-0.625582308,-0.460879407,-0.164702902,MIL,SF/PF,46,22.68623188,6.891304348,1.804347826,2.782608696,3.260869565,0.717391304,0.130434783,0.435483871,5.391304348,0.857142857,0.456521739,1.195652174
Charles Bassey,-0.630088352,-0.461619411,-0.168468941,SAS,PF/C,35,14.51047619,5.685714286,0.085714286,5.514285714,1.371428571,0.457142857,0.942857143,0.644444444,3.857142857,0.594594595,1.057142857,1.171428571
Grant Williams,-0.654958874,-0.465736811,-0.189222063,BOS,SF/PF,79,25.88164557,8.113924051,1.455696203,4.594936709,1.658227848,0.518987342,0.392405063,0.453781513,6.025316456,0.770491803,1.544303797,1.037974684
Bones Hyland,-0.597545168,-0.4721696,-0.125375567,LAC,PG/SG,56,19.38452381,11.76785714,2.089285714,2.410714286,3.071428571,0.696428571,0.267857143,0.399299475,10.19642857,0.843137255,1.821428571,1.464285714
Ayo Dosunmu,-0.641240585,-0.480439008,-0.160801577,CHI,PG/SG,80,26.21916667,8.5875,0.7375,2.75,2.575,0.775,0.325,0.492982456,7.125,0.804878049,1.025,1.2375
Terance Mann,-0.681974742,-0.482967675,-0.199007067,LAC,SG/SF,81,23.1100823,8.802469136,0.950617284,3.407407407,2.271604938,0.518518519,0.271604938,0.519083969,6.469135802,0.779661017,1.456790123,0.987654321
Pat Connaughton,-0.763602432,-0.495313919,-0.268288513,MIL,SG/SF,61,23.65027322,7.639344262,1.786885246,4.639344262,1.262295082,0.606557377,0.180327869,0.39192399,6.901639344,0.658536585,0.672131148,0.540983607
Precious Achiuwa,-0.686923144,-0.498834182,-0.188088962,TOR,PF/C,55,20.73606061,9.236363636,0.527272727,5.963636364,0.909090909,0.563636364,0.545454545,0.485148515,7.345454545,0.701612903,2.254545455,1.072727273
Julian Champagnie,-0.753780829,-0.500882661,-0.252898168,SAS,SG,17,18.83137255,9.705882353,1.941176471,3.529411765,0.588235294,0.352941176,0.294117647,0.453846154,7.647058824,0.823529412,1,0.647058824
Mo Bamba,-0.759438462,-0.501218713,-0.258219749,LAL,C,49,15.68231293,6.591836735,0.979591837,4.591836735,0.93877551,0.265306122,0.87755102,0.485477178,4.918367347,0.661290323,1.265306122,0.612244898
Lonnie Walker,-0.728982572,-0.502345,-0.226637573,LAL,SG/SF,56,23.16071429,11.67857143,1.625,1.946428571,1.142857143,0.535714286,0.303571429,0.447817837,9.410714286,0.858490566,1.892857143,0.821428571
Collin Sexton,-0.591863932,-0.508442569,-0.083421363,UTA,PG/SG,48,23.85625,14.27083333,1,2.1875,2.875,0.5625,0.125,0.506410256,9.75,0.819095477,4.145833333,1.770833333
Isaac Okoro,-0.783789869,-0.514828467,-0.268961402,CLE,SG/SF,76,21.74144737,6.447368421,0.815789474,2.460526316,1.144736842,0.736842105,0.394736842,0.494350282,4.657894737,0.757281553,1.355263158,0.552631579
Kevin Love,-0.698655354,-0.516852787,-0.181802567,MIA,PF/C,62,19.99139785,8.209677419,1.596774194,6.435483871,1.870967742,0.258064516,0.193548387,0.389150943,6.838709677,0.879120879,1.467741935,1.129032258
Jeremy Sochan,-0.608439126,-0.517960556,-0.09047857,SAS,PF,56,26.02857143,10.96428571,0.589285714,5.267857143,2.535714286,0.767857143,0.410714286,0.452898551,9.857142857,0.698275862,2.071428571,1.732142857
Paul Reed,-0.77490907,-0.52035284,-0.254556231,PHI,PF/C,69,10.94299517,4.15942029,0.014492754,3.797101449,0.391304348,0.666666667,0.739130435,0.593301435,3.028985507,0.745098039,0.739130435,0.652173913
Gabe Vincent,-0.668886785,-0.520575005,-0.14831178,MIA,PG/SG,68,25.86176471,9.426470588,1.720588235,2.132352941,2.455882353,0.911764706,0.073529412,0.402116402,8.338235294,0.871794872,1.147058824,1.352941176
