,Name,PuntV,LeagV,g,m/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
103,Immanuel Quickley,-0.279853068,-0.158810409,81,28.93806584,14.92592593,3.444444444,2.074074074,4.160493827,0.987654321,0.172839506,0.1071168056148411,-0.32409085212238375,-1.234567901
104,Kelly Olynyk,-0.09274359,-0.159107772,68,28.55392157,12.45588235,3.705882353,1.367647059,6.176470588,0.882352941,0.544117647,0.23843329131862717,0.19172625823126688,-2.470588235
105,Malcolm Brogdon,-0.246416645,-0.159839791,67,26.02636816,14.92537313,3.701492537,1.970149254,4.179104478,0.671641791,0.268656716,0.23618613733034566,0.08642691514815504,-1.462686567
106,Bojan Bogdanovic,-0.126561025,-0.164572898,59,32.08276836,21.57627119,2.576271186,2.457627119,3.779661017,0.576271186,0.13559322,0.5183138175700832,0.17688507410132123,-2.288135593
107,Marcus Smart,-0.119987959,-0.166296113,61,32.07404372,11.52459016,6.262295082,1.885245902,3.131147541,1.524590164,0.37704918,-0.07312120342371355,-0.5962119647171246,-2.344262295
108,Donte DiVincenzo,-0.240698331,-0.167275687,72,26.30856481,9.416666667,3.5,2.083333333,4.513888889,1.347222222,0.138888889,0.03287571364276586,-0.3038303379792985,-1.555555556
109,Josh Giddey,-0.056423112,-0.168035313,76,31.14714912,16.57894737,6.171052632,1.0,7.881578947,0.75,0.407894737,-0.10021822506497513,0.09436825096410621,-2.776315789
110,Ivica Zubac,-0.245489299,-0.169366472,76,28.54627193,10.76315789,1.013157895,0.0,9.947368421,0.381578947,1.289473684,-0.2695777902800136,1.072267223863899,-1.539473684
111,Keegan Murray,-0.374118827,-0.17728191,80,29.77166667,12.2,1.225,2.575,4.6375,0.7625,0.525,-0.018357189097321494,-0.2249273904913521,-0.75
112,Jaden McDaniels,-0.273093727,-0.177491415,79,30.58755274,12.06329114,1.873417722,1.35443038,3.886075949,0.936708861,0.962025316,-0.08649395567974795,0.3721739021788535,-1.417721519
113,Kevon Looney,-0.415046603,-0.186537544,82,23.87235772,7.048780488,2.524390244,0.0,9.268292683,0.634146341,0.609756098,-0.3347830692593091,0.7235704332202519,-0.548780488
114,Kyle Lowry,-0.223561158,-0.194797741,55,31.23121212,11.18181818,5.109090909,1.945454545,4.090909091,1.036363636,0.381818182,0.18580075252574943,-0.6311365468838588,-1.872727273
115,Bobby Portis,-0.336766236,-0.198962911,70,25.97809524,14.1,1.5,1.357142857,9.6,0.414285714,0.228571429,-0.02779045738508396,0.22880278511936084,-1.157142857
116,Jonas Valanciunas,-0.208710953,-0.200460404,79,24.91540084,14.11392405,1.772151899,0.481012658,10.17721519,0.253164557,0.658227848,0.12002487334503163,0.7320525047743424,-2.012658228
117,Bruce Brown,-0.282555391,-0.202048054,80,28.49375,11.5375,3.35,1.1375,4.1,1.0875,0.6375,-0.048563579167162856,0.06886675483306683,-1.5375
118,Jusuf Nurkic,-0.18257777,-0.214409498,52,26.75929487,13.34615385,2.865384615,0.826923077,9.057692308,0.826923077,0.846153846,-0.4508467315310091,0.418722539559526,-2.288461538
119,Aaron Gordon,-0.311511807,-0.214802572,68,30.22181373,16.30882353,2.985294118,0.882352941,6.558823529,0.794117647,0.75,-0.8093922640869805,0.9852268064193008,-1.441176471
120,Alex Caruso,-0.356165088,-0.215142872,67,23.51318408,5.582089552,2.880597015,0.820895522,2.925373134,1.462686567,0.686567164,0.026864568605971223,-0.09028397513957762,-1.149253731
121,Bogdan Bogdanovic,-0.351517497,-0.218351596,54,27.9345679,14.0,2.777777778,2.703703704,3.055555556,0.796296296,0.333333333,0.06788287898032108,-0.32685541988647104,-1.203703704
122,Cole Anthony,-0.305547409,-0.219677047,60,25.86305556,13.01666667,3.916666667,1.25,4.8,0.616666667,0.516666667,0.3132391407525367,-0.21957494666615165,-1.516666667
123,Saddiq Bey,-0.418387192,-0.23982786,77,27.64437229,13.79220779,1.532467532,1.961038961,4.701298701,0.909090909,0.168831169,0.24041672577731302,-0.5802827212274999,-0.922077922
124,Mark Williams,-0.419305845,-0.241743695,43,19.25542636,9.0,0.418604651,0.0,7.069767442,0.651162791,1.046511628,-0.20943203930154813,0.9441937178456183,-0.930232558
125,Jarred Vanderbilt,-0.387421486,-0.255642935,78,24.09722222,7.935897436,2.358974359,0.371794872,7.461538462,1.064102564,0.269230769,-0.16557960518124562,0.41616859505414916,-1.243589744
126,Harrison Barnes,-0.417668031,-0.256268251,82,32.46361789,15.0,1.56097561,1.609756098,4.463414634,0.695121951,0.12195122,0.32181247522893797,-0.027749444607140645,-1.048780488
127,Monte Morris,-0.432822004,-0.258814364,62,27.33682796,10.25806452,5.258064516,1.258064516,3.387096774,0.693548387,0.209677419,0.059123797824641354,0.03252601506094103,-0.967741935
128,Royce O'Neale,-0.353514839,-0.260068077,76,31.69692982,8.828947368,3.723684211,2.144736842,5.052631579,0.855263158,0.644736842,-0.05349767480124909,-0.6985219290866836,-1.5
129,Tyus Jones,-0.440914227,-0.260245791,80,24.24375,10.2875,5.2125,1.5125,2.5,1.0375,0.075,0.020546679833553794,-0.33430108360883615,-0.925
130,Patrick Williams,-0.397003049,-0.262558116,82,28.3300813,10.15853659,1.219512195,1.402439024,3.987804878,0.87804878,0.853658537,0.09421854989944292,-0.09812343658075338,-1.231707317
131,Jalen Duren,-0.375762678,-0.262742302,67,24.92810945,9.134328358,1.119402985,0.0,8.880597015,0.656716418,0.880597015,-0.40327368710258293,1.0249706430430299,-1.373134328
132,Ben Simmons,-0.236572652,-0.265244165,42,26.30833333,6.928571429,6.095238095,0.0,6.261904762,1.285714286,0.571428571,-0.4681683669171465,0.5050348645812546,-2.30952381
133,Mason Plumlee,-0.363795415,-0.266646853,79,25.99556962,10.84810127,3.101265823,0.0,8.860759494,0.582278481,0.594936709,-0.5855077372197224,1.2501669103626392,-1.481012658
134,Larry Nance Jr.,-0.495619917,-0.271284303,65,21.24820513,6.784615385,1.830769231,0.215384615,5.446153846,0.861538462,0.569230769,-0.1061761508359292,0.6294269480691136,-0.646153846
135,Cade Cunningham,-0.104696909,-0.274798506,12,33.34861111,19.91666667,6.0,1.416666667,6.166666667,0.833333333,0.583333333,0.19223381433830514,-1.1296567471724226,-3.25
136,Daniel Gafford,-0.438368813,-0.280190817,78,20.56645299,9.038461538,1.076923077,0.0,5.551282051,0.423076923,1.269230769,-0.25033611151730956,1.2961553966586667,-1.08974359
137,Grayson Allen,-0.458387926,-0.28588805,72,27.38773148,10.41666667,2.263888889,2.027777778,3.291666667,0.861111111,0.194444444,0.2120986855169752,-0.2772585377450346,-1.0
138,Caleb Martin,-0.443494739,-0.285939911,71,29.257277,9.61971831,1.647887324,1.183098592,4.845070423,1.0,0.436619718,0.03461154806058048,-0.09410353814394302,-1.098591549
139,Tari Eason,-0.433538211,-0.295033815,82,21.5504065,9.268292683,1.073170732,0.719512195,6.048780488,1.170731707,0.573170732,-0.05629981865242429,-0.21901575808065407,-1.231707317
140,Jabari Smith Jr,-0.423684871,-0.297699465,79,31.01940928,12.78481013,1.278481013,1.518987342,7.202531646,0.544303797,0.936708861,0.0074188966915835555,-0.7635536680122311,-1.316455696
141,Kyle Kuzma,-0.173223315,-0.297798059,64,34.98125,21.203125,3.734375,2.5,7.234375,0.5625,0.453125,-0.1985054606493469,-0.4881986606611641,-2.96875
142,Zach Collins,-0.313151347,-0.298009067,63,22.86693122,11.6031746,2.857142857,0.873015873,6.380952381,0.587301587,0.777777778,-0.05183963826911575,0.37013727762761217,-2.047619048
143,Austin Reaves,-0.392248407,-0.300816717,64,28.79947917,13.015625,3.359375,1.34375,3.015625,0.515625,0.296875,0.3336858753080216,0.4048282939377995,-1.546875
144,Jordan Poole,-0.163079645,-0.302857493,82,29.97703252,20.42682927,4.5,2.609756098,2.743902439,0.768292683,0.256097561,0.4368475326398312,-0.7065775185618489,-3.073170732
145,Khris Middleton,-0.302891565,-0.30289457,33,24.26515152,15.06060606,4.939393939,1.545454545,4.242424242,0.696969697,0.151515152,0.3659578497810055,-0.48886467038300446,-2.151515152
146,Norman Powell,-0.376912935,-0.30557992,60,26.11805556,16.98333333,1.816666667,1.9,2.916666667,0.833333333,0.3,0.13255240312816222,0.037598550177627144,-1.683333333
147,Chris Boucher,-0.552230253,-0.307223999,76,20.04495614,9.368421053,0.381578947,0.815789474,5.539473684,0.618421053,0.842105263,-0.04787534493048555,0.12311671943170821,-0.539473684
148,Drew Eubanks,-0.504466531,-0.307836399,78,20.30405983,6.641025641,1.320512821,0.08974359,5.358974359,0.512820513,1.307692308,-0.19160682077833016,0.7066355196580575,-0.858974359
